t,latitude,longitude,velocity_x_ref,velocity_y_ref,velocity_z_ref,heading,pitch,roll
4596.0,0.9652931755339351,-0.004090451570640915,-7.791934938338375,-36.44593234716605,0.0,0.9785648067005058,0.0004600810690737143,0.08746964132039829
4600.0,0.9652702925907923,-0.0040990503218135636,-7.7952394131331495,-36.44680769070794,0.0,0.9786620730899603,0.00046187019919456137,0.0874681525061098
4604.0,0.9652474091530608,-0.004107652405424423,-7.798518228909844,-36.44759544679508,0.0,0.9787593148325988,0.00046364660613816035,0.08746667349294664
4608.0,0.9652245252753447,-0.004116257793096067,-7.801771518506279,-36.44829623229699,0.0,0.9788565319503221,0.00046541024681494894,0.0874652043130074
4612.0,0.9652016410118596,-0.004124866456602446,-7.804999416003464,-36.44891066593536,0.0,0.978953724464951,0.0004671610784316275,0.08746374499812726
4616.0,0.9651787564164314,-0.0041334783678702355,-7.8082020567233075,-36.449439368267925,0.0,0.9790508923982257,0.00046889905849229754,0.08746229557987752
4620.0,0.9651558715424953,-0.004142093498980174,-7.811379577226295,-36.44988296167248,0.0,0.979148035771804,0.00047062414479972424,0.08746085608956446
4624.0,0.9651329864430946,-0.004150711822168407,-7.814532115309123,-36.450242070330724,0.0,0.9792451546072584,0.00047233629545628017,0.08745942655822912
4628.0,0.9651101011708798,-0.0041593333098278165,-7.817659810002289,-36.450517320212114,0.0,0.9793422489260776,0.00047403546886534703,0.08745800701664673
4632.0,0.9650872157781069,-0.004167957934509361,-7.820762801567642,-36.45070933905769,0.0,0.9794393187496631,0.00047572162373241204,0.08745659749532575
4636.0,0.9650643303166369,-0.004176585668923404,-7.823841231495892,-36.450818756363795,0.0,0.9795363640993273,0.00047739471906616443,0.08745519802450746
4640.0,0.9650414448379344,-0.004185216485941035,-7.8268952425040705,-36.45084620336586,0.0,0.9796333849962946,0.00047905471417961884,0.08745380863416542
4644.0,0.9650185593930667,-0.004193850358595404,-7.829924978532972,-36.450792313022035,0.0,0.9797303814616971,0.00048070156869137924,0.0874524293540047
4648.0,0.9649956740327026,-0.004202487260083034,-7.832930584744522,-36.450657719996826,0.0,0.9798273535165749,0.00048233524252662364,0.08745106021346156
4652.0,0.9649727888071112,-0.004211127163765141,-7.835912207519137,-36.45044306064474,0.0,0.9799243011818743,0.00048395569591829754,0.08744970124170248
4656.0,0.9649499037661613,-0.004219770043168951,-7.838869994453008,-36.45014897299378,0.0,0.9800212244784462,0.000485562889408183,0.08744835246762406
4660.0,0.9649270189593199,-0.004228415871989009,-7.841804094355377,-36.449776096729046,0.0,0.9801181234270451,0.0004871567838481048,0.08744701391985205
4664.0,0.9649041344356513,-0.004237064624088485,-7.844714657245751,-36.449325073176155,0.0,0.9802149980483272,0.0004887373404009873,0.08744568562674099
